step,fvu,dead,mean_act,tokens_per_sec
18100,0.09791,0,1.6772,13868
18150,0.09709,0,1.6820,13777
18200,0.09748,0,1.6924,14234
18250,0.09833,0,1.6696,14129
18300,0.09947,0,1.6803,13119
18350,0.09684,0,1.6801,8912
18400,0.09907,0,1.6768,11618
18450,0.09976,0,1.6754,13006
18500,0.09832,0,1.6832,13546
18550,0.09690,0,1.6804,13658
18600,0.09703,0,1.6780,13345
18650,0.09823,0,1.6733,14338
18700,0.09825,0,1.6783,15160
18750,0.09566,0,1.6829,14648
18800,0.09911,0,1.6729,14646
18850,0.09960,0,1.6735,14818
18900,0.09929,0,1.6759,12505
18950,0.09762,0,1.6820,14310
19000,0.09666,0,1.6772,13364
19050,0.09874,0,1.6808,13770
19100,0.09742,0,1.6758,14431
19150,0.09758,0,1.6727,14057
19200,0.09959,0,1.6849,14013
19250,0.09862,0,1.6780,14358
19300,0.09824,0,1.6745,14419
19350,0.09659,0,1.6746,14586
19400,0.09623,0,1.6806,14729
19450,0.09851,0,1.6729,12098
19500,0.09637,0,1.6708,13150
19550,0.09871,0,1.6760,13222
19600,0.09625,0,1.6729,13792
19650,0.09815,0,1.6777,14313
19700,0.09741,0,1.6687,14083
19750,0.09621,0,1.6777,12313
19800,0.09800,0,1.6856,14563
19850,0.09888,0,1.6761,15034
19900,0.09566,0,1.6789,14188
19950,0.09870,0,1.6698,14730
20000,0.09763,0,1.6784,15070
